Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_morpho
0	0	-16754	-16752.9	-1.14615	1.146147
1	1	-15526.1	-15525.9	-0.221932	0.2219324
2	0	-7608.94	-7608.93	-0.00488976	0.004889756
3	1	-7607.06	-7607.06	-0.00468346	0.004683459
4	0	-7606.96	-7606.96	-0.00460551	0.004605515
5	1	-7606.96	-7606.96	-0.00460997	0.004609975
6	0	-7606.98	-7606.98	-0.00465144	0.004651437
7	1	-7607.12	-7607.12	-0.00469855	0.004698549
8	0	-7607.17	-7607.17	-0.00470956	0.004709561
9	1	-7607.11	-7607.11	-0.00469638	0.004696376
10	0	-7607.51	-7607.51	-0.00448373	0.004483728
11	1	-7607.15	-7607.15	-0.00470459	0.004704593
12	0	-7607.01	-7607.01	-0.00466639	0.00466639
13	1	-7609.26	-7609.26	-0.00491146	0.00491146
14	0	-7607.27	-7607.27	-0.00472717	0.004727172
15	1	-7606.97	-7606.96	-0.00463939	0.004639393
16	0	-7607.03	-7607.03	-0.00467282	0.004672815
17	1	-7607.37	-7607.37	-0.0045021	0.004502096
18	0	-7607.45	-7607.44	-0.00475376	0.00475376
19	1	-7608.66	-7608.66	-0.00486998	0.004869984
20	0	-7606.99	-7606.99	-0.00458702	0.004587022
21	1	-7607.06	-7607.05	-0.00456195	0.004561948
22	0	-7607.45	-7607.45	-0.00475437	0.004754367
23	1	-7607.07	-7607.07	-0.00468489	0.004684886
24	0	-7607.14	-7607.14	-0.00470271	0.004702714
25	1	-7607.69	-7607.68	-0.00478344	0.004783438
26	0	-7607.99	-7607.99	-0.00481461	0.004814608
27	1	-7607.21	-7607.21	-0.00471651	0.004716513
28	0	-7607.21	-7607.21	-0.00471691	0.004716913
29	1	-7607.25	-7607.24	-0.00472296	0.004722964
30	0	-7607.09	-7607.09	-0.00469109	0.004691092
31	1	-7607.91	-7607.91	-0.00444156	0.004441557
32	0	-7607	-7607	-0.00458252	0.004582525
33	1	-7608.5	-7608.49	-0.00439413	0.004394131
34	0	-7607.4	-7607.39	-0.00449873	0.004498728
35	1	-7607.36	-7607.35	-0.00450427	0.004504266
36	0	-7606.96	-7606.96	-0.00463573	0.004635727
37	1	-7609.64	-7609.63	-0.00432335	0.004323349
38	0	-7607.36	-7607.35	-0.00474073	0.004740734
39	1	-7609.19	-7609.18	-0.00490659	0.004906593
40	0	-7607.47	-7607.46	-0.00448959	0.004489593
41	1	-7607.26	-7607.26	-0.0047258	0.004725798
42	0	-7607.74	-7607.73	-0.00445876	0.004458765
43	1	-7606.99	-7606.99	-0.00458658	0.004586578
44	0	-7606.98	-7606.98	-0.00459037	0.004590366
45	1	-7607.01	-7607	-0.00466449	0.004664491
46	0	-7607.01	-7607.01	-0.00466623	0.004666229
47	1	-7608.48	-7608.47	-0.00439557	0.004395574
48	0	-7607.03	-7607.03	-0.004571	0.004570995
49	1	-7607.28	-7607.28	-0.00451631	0.004516305
50	0	-7607.04	-7607.03	-0.00467544	0.004675436
51	1	-7607.01	-7607	-0.00466429	0.004664288
52	0	-7608.01	-7608	-0.00481588	0.004815885
53	1	-7607.25	-7607.24	-0.00452141	0.00452141
54	0	-7607.37	-7607.37	-0.00450207	0.00450207
55	1	-7608.73	-7608.72	-0.00487481	0.004874815
56	0	-7607.13	-7607.12	-0.00454529	0.004545294
57	1	-7606.96	-7606.95	-0.0046256	0.004625598
58	0	-7607	-7606.99	-0.00458451	0.004584509
59	1	-7606.96	-7606.95	-0.00463216	0.004632157
60	0	-7606.96	-7606.95	-0.00462553	0.004625534
61	1	-7607.04	-7607.03	-0.00467555	0.004675553
62	0	-7607	-7607	-0.00458059	0.004580586
63	1	-7607.13	-7607.13	-0.00470094	0.004700939
64	0	-7607.52	-7607.51	-0.00448321	0.004483213
65	1	-7607.44	-7607.44	-0.00449267	0.004492665
66	0	-7611.73	-7611.72	-0.00504267	0.005042674
67	1	-7608.3	-7608.29	-0.00484161	0.004841607
68	0	-7607.61	-7607.61	-0.00477493	0.004774931
69	1	-7607.4	-7607.39	-0.00449916	0.004499161
70	0	-7607.62	-7607.61	-0.00477511	0.004775112
71	1	-7607.46	-7607.46	-0.00475555	0.004755554
72	0	-7607.62	-7607.61	-0.00447172	0.004471715
73	1	-7606.99	-7606.99	-0.00458526	0.004585261
74	0	-7607.43	-7607.43	-0.00475151	0.004751506
75	1	-7607.04	-7607.03	-0.00456886	0.004568865
76	0	-7607.12	-7607.12	-0.00469821	0.004698211
77	1	-7606.97	-7606.96	-0.00460058	0.004600578
78	0	-7606.96	-7606.96	-0.004633	0.004633003
79	1	-7607.03	-7607.03	-0.00457044	0.004570443
80	0	-7607.02	-7607.01	-0.0045755	0.004575496
81	1	-7606.97	-7606.97	-0.00459935	0.004599353
82	0	-7608.2	-7608.2	-0.00441678	0.004416783
83	1	-7607.14	-7607.14	-0.00470258	0.004702583
84	0	-7607	-7606.99	-0.00458403	0.004584034
85	1	-7607.21	-7607.21	-0.00452746	0.004527455
86	0	-7608.28	-7608.28	-0.00484044	0.004840443
87	1	-7607.5	-7607.49	-0.00448582	0.004485817
88	0	-7607.77	-7607.76	-0.00479219	0.004792186
89	1	-7607.05	-7607.05	-0.00456408	0.004564085
90	0	-7606.96	-7606.95	-0.00462417	0.004624169
91	1	-7606.96	-7606.96	-0.00460981	0.004609815
92	0	-7607.39	-7607.38	-0.00450046	0.004500464
93	1	-7607.19	-7607.18	-0.00453217	0.004532165
94	0	-7607.06	-7607.05	-0.00468189	0.00468189
95	1	-7606.98	-7606.97	-0.00459575	0.00459575
96	0	-7607.31	-7607.31	-0.00451152	0.004511518
97	1	-7607.68	-7607.68	-0.00478251	0.004782505
98	0	-7607.04	-7607.04	-0.00456719	0.00456719
99	1	-7607.09	-7607.09	-0.0046908	0.0046908
100	0	-7606.96	-7606.95	-0.00461164	0.004611642
101	1	-7607.01	-7607	-0.00466429	0.004664292
102	0	-7607.05	-7607.05	-0.00456349	0.004563488
103	1	-7607.05	-7607.04	-0.00456502	0.004565015
104	0	-7607.65	-7607.65	-0.00477908	0.004779083
105	1	-7607.06	-7607.06	-0.00456158	0.004561578
106	0	-7607.61	-7607.6	-0.00477389	0.00477389
107	1	-7607.24	-7607.23	-0.0047215	0.004721499
108	0	-7607.13	-7607.12	-0.004545	0.004544996
109	1	-7606.96	-7606.96	-0.00463509	0.004635092
110	0	-7606.96	-7606.96	-0.00463683	0.004636832
111	1	-7608.49	-7608.48	-0.00439477	0.004394765
112	0	-7609.06	-7609.05	-0.00489799	0.004897992
113	1	-7606.96	-7606.96	-0.0046053	0.004605297
114	0	-7607.27	-7607.27	-0.00472778	0.004727781
115	1	-7607.14	-7607.13	-0.00470209	0.004702092
116	0	-7606.96	-7606.95	-0.00462054	0.004620541
117	1	-7607.57	-7607.56	-0.00447744	0.004477439
118	0	-7607.19	-7607.19	-0.00453119	0.004531189
119	1	-7606.96	-7606.95	-0.00463067	0.00463067
120	0	-7606.96	-7606.96	-0.00463821	0.004638215
121	1	-7609.3	-7609.29	-0.00491384	0.004913841
122	0	-7607.09	-7607.09	-0.00469045	0.004690452
123	1	-7607.02	-7607.01	-0.00457616	0.004576162
124	0	-7607.34	-7607.33	-0.00450743	0.004507432
125	1	-7607.03	-7607.03	-0.00456945	0.00456945
126	0	-7607.1	-7607.09	-0.00455151	0.004551514
127	1	-7607.1	-7607.1	-0.00469341	0.004693411
128	0	-7607.18	-7607.18	-0.00471077	0.004710766
129	1	-7607.57	-7607.57	-0.00476957	0.004769574
130	0	-7607.28	-7607.28	-0.00451585	0.004515849
131	1	-7607.69	-7607.68	-0.00478304	0.004783036
132	0	-7607.18	-7607.18	-0.00453305	0.004533048
133	1	-7606.97	-7606.97	-0.00464453	0.004644526
134	0	-7607.09	-7607.09	-0.00469145	0.00469145
135	1	-7608.1	-7608.1	-0.00482463	0.004824635
